trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20210104,10.29,10.97,10.25,10.7,10.15,0.55,5.4187,2183821.4,2302755.927
20210105,10.54,10.64,10.33,10.48,10.7,-0.22,-2.0561,1702323.05,1785870.246
20210106,10.46,10.47,9.98,10.28,10.48,-0.2,-1.9084,1449378.34,1479952.193
20210107,10.36,10.77,10.23,10.55,10.28,0.27,2.6265,1805612.32,1892645.849
20210108,10.65,10.7,10.05,10.25,10.55,-0.3,-2.8436,1406530.47,1441379.594
20210111,10.15,10.15,9.8,9.8,10.25,-0.45,-4.3902,1318089.7,1311624.2
20210112,9.77,10.25,9.77,10.18,9.8,0.38,3.8776,1205836.91,1217780.627
20210113,10.16,10.74,10.11,10.69,10.18,0.51,5.0098,2011557.92,2102028.421
20210114,11.11,11.19,10.46,10.9,10.69,0.21,1.9645,2193453.97,2372994.962
20210115,10.6,10.75,10.16,10.46,10.9,-0.44,-4.0367,1391752.43,1450915.257
20210118,10.51,11.48,10.3,11.28,10.46,0.82,7.8394,2372541.52,2590150.974
20210119,11.17,11.26,10.84,10.87,11.28,-0.41,-3.6348,1510327.84,1667189.913
20210120,10.88,11.11,10.7,11,10.87,0.13,1.196,1120931.49,1226217.572
20210121,11.14,12.1,10.9,11.87,11,0.87,7.9091,3242389.81,3803295.261
20210122,12.15,13.06,12.09,12.96,11.87,1.09,9.1828,4640422.98,5939464.749
20210125,12.77,13.98,12.5,13,12.96,0.04,0.3086,3875486.57,5101016.331
20210126,13.01,13.73,12.85,13.34,13,0.34,2.6154,2845455.86,3793862.002
20210127,13.45,14.38,12.74,14.16,13.34,0.82,6.1469,3262526.79,4366029.049
20210128,13.55,13.98,12.94,13.15,14.16,-1.01,-7.1328,2864302.06,3845424.075
20210129,13.37,13.37,12.21,12.75,13.15,-0.4,-3.0418,2240001.27,2842143.901
20210201,12.52,12.96,12.19,12.88,12.75,0.13,1.0196,1767948.64,2229737.033
20210202,13.04,13.2,12.46,12.73,12.88,-0.15,-1.1646,1671205.6,2146891.94
20210203,13.08,13.88,12.91,13.31,12.73,0.58,4.5562,2480307.92,3319622.865
20210204,12.98,13.88,12.81,13.35,13.31,0.04,0.3005,2140293.71,2874457.279
20210205,13.62,13.85,12.33,12.4,13.35,-0.95,-7.1161,2346809.6,3071590.158
20210208,12.2,12.75,11.55,12.75,12.4,0.35,2.8226,1994568.8,2412825.514
20210209,13.11,14,12.9,13.99,12.75,1.24,9.7255,2523593.4,3402668.416
20210210,13.89,14.29,13.72,13.93,13.99,-0.06,-0.4289,2183914.65,3068096.725
20210218,14,14.26,13.36,13.48,13.93,-0.45,-3.2304,2062713.01,2831418.241
20210219,13.26,13.27,12.77,13.26,13.48,-0.22,-1.632,1654388.98,2156864.97
20210222,13.4,14.59,13.3,13.87,13.26,0.61,4.6003,2648633.48,3706113.04
20210223,13.6,13.8,13.13,13.23,13.87,-0.64,-4.6143,1836001.17,2450469.724
20210224,13.2,13.29,12.02,12.36,13.23,-0.87,-6.576,2267142.92,2837728.804
20210225,12.5,12.6,12.15,12.18,12.36,-0.18,-1.4563,1140278.53,1409621.748
20210226,11.7,12.35,11.53,12.13,12.18,-0.05,-0.4105,1167480.88,1398170.057
20210301,12.36,12.6,12.18,12.45,12.13,0.32,2.6381,1013662.42,1257986.346
20210302,12.8,13.02,12.51,12.51,12.45,0.06,0.4819,1567313.34,2004999.658
20210303,12.46,12.74,12.16,12.56,12.51,0.05,0.3997,1078747.86,1346058.032
20210304,12.1,12.15,11.3,11.45,12.56,-1.11,-8.8376,2009807.65,2339127.726
20210305,11.12,11.84,11.02,11.6,11.45,0.15,1.31,1070331.24,1230271.26
20210308,11.59,11.68,10.95,10.95,11.6,-0.65,-5.6034,1309382.69,1470187.273
20210309,10.94,11.12,10.51,10.81,10.95,-0.14,-1.2785,945865.72,1026829.915
20210310,11.14,11.17,10.7,10.76,10.81,-0.05,-0.4625,657082.65,715584.776
20210311,10.73,11.07,10.65,11.02,10.76,0.26,2.4164,788071.16,861206.549
20210312,11.49,11.66,11.26,11.44,11.02,0.42,3.8113,1276754.91,1462567.365
20210315,11.2,11.4,11.06,11.22,11.44,-0.22,-1.9231,728230.74,816087.795
20210316,11.28,11.75,11.25,11.61,11.22,0.39,3.4759,1025089.58,1183595.914
20210317,11.52,11.52,11.23,11.4,11.61,-0.21,-1.8088,630861.33,717201.98
20210318,11.45,11.59,11.29,11.49,11.4,0.09,0.7895,643634.01,736433.544
20210319,11.23,11.42,11.06,11.15,11.49,-0.34,-2.9591,694795.55,779782.948
20210322,11.15,11.76,11.13,11.75,11.15,0.6,5.3812,1108451.93,1282768.435
20210323,11.8,11.83,11.19,11.33,11.75,-0.42,-3.5745,904930.21,1029920.852
20210324,11.18,11.33,11.09,11.23,11.33,-0.1,-0.8826,487338.28,545499.089
20210325,11.18,11.23,10.83,11.08,11.23,-0.15,-1.3357,557963.48,617448.265
20210326,11.16,11.54,11.15,11.45,11.08,0.37,3.3394,789983.7,900591.356
20210329,11.45,11.45,11.06,11.09,11.45,-0.36,-3.1441,859619.12,960301.821
20210330,10.98,11.61,10.91,11.44,11.09,0.35,3.156,1126243.49,1276956.216
20210331,11.3,11.3,11.06,11.19,11.44,-0.25,-2.1853,634034.42,707203.259
20210401,11.33,11.5,11.22,11.29,11.19,0.1,0.8937,698209.85,793081.144
20210402,11.24,11.24,11.06,11.09,11.29,-0.2,-1.7715,664509.97,738335.971
20210406,11.13,11.38,11.08,11.21,11.09,0.12,1.0821,547534.5,614703.833
20210407,11.16,11.55,11.06,11.47,11.21,0.26,2.3194,896159.61,1015266.447
20210408,11.35,11.37,11.17,11.3,11.47,-0.17,-1.4821,616029.3,693062.505
20210409,11.21,11.3,11.09,11.15,11.3,-0.15,-1.3274,443094.01,494587.588
20210412,11.13,11.13,10.84,10.95,11.15,-0.2,-1.7937,505193.2,554364.088
20210413,10.82,10.91,10.71,10.74,10.95,-0.21,-1.9178,370578.01,399846.72
20210414,10.71,11.1,10.7,10.98,10.74,0.24,2.2346,437651.99,475391.646
20210415,10.99,11.22,10.94,11.17,10.98,0.19,1.7304,644637.72,718830.739
20210416,11.13,11.34,11.12,11.23,11.17,0.06,0.5372,525285.19,590543.088
20210419,11.29,11.68,11.26,11.63,11.23,0.4,3.5619,941234.41,1087867.074
20210420,11.63,11.74,11.54,11.55,11.63,-0.08,-0.6879,627861.94,730247.149
20210421,11.57,11.61,11.4,11.43,11.55,-0.12,-1.039,412521.56,472644.257
20210422,11.48,11.65,11.38,11.56,11.43,0.13,1.1374,449877.04,517962.048
